A1,B1,C1,D1,E1,F1,G1,H1
0.072,0.074,0.077,0.071,0.072,0.078,0.072,0.071
0.071,0.073,0.077,0.072,0.072,0.077,0.072,0.072
0.072,0.074,0.077,0.072,0.073,0.078,0.073,0.072
0.072,0.074,0.078,0.072,0.072,0.078,0.073,0.072
0.072,0.075,0.078,0.072,0.073,0.079,0.074,0.072
0.073,0.075,0.079,0.073,0.073,0.079,0.075,0.073
0.074,0.076,0.079,0.073,0.073,0.08,0.076,0.073
0.073,0.076,0.08,0.074,0.074,0.08,0.078,0.073
0.074,0.077,0.081,0.074,0.074,0.081,0.079,0.074
0.074,0.078,0.082,0.074,0.075,0.081,0.081,0.073
0.075,0.079,0.084,0.075,0.076,0.082,0.082,0.074
0.076,0.08,0.085,0.076,0.077,0.082,0.084,0.074
0.077,0.081,0.086,0.076,0.077,0.083,0.086,0.074
0.077,0.082,0.087,0.077,0.078,0.084,0.088,0.075
0.078,0.083,0.089,0.078,0.079,0.084,0.09,0.075
0.078,0.084,0.09,0.078,0.08,0.085,0.092,0.076
0.079,0.085,0.092,0.079,0.081,0.086,0.095,0.076
0.08,0.086,0.093,0.08,0.082,0.086,0.098,0.076
0.081,0.087,0.095,0.08,0.083,0.087,0.101,0.077
0.081,0.088,0.097,0.081,0.084,0.087,0.103,0.077
0.082,0.089,0.099,0.082,0.085,0.088,0.106,0.077
0.082,0.09,0.101,0.083,0.086,0.089,0.109,0.078
0.083,0.091,0.103,0.083,0.086,0.089,0.111,0.078
0.083,0.092,0.105,0.084,0.087,0.09,0.114,0.078
0.084,0.093,0.106,0.084,0.087,0.09,0.116,0.079
0.085,0.094,0.108,0.085,0.088,0.091,0.118,0.079
0.085,0.095,0.11,0.085,0.089,0.092,0.12,0.079
0.086,0.096,0.111,0.086,0.089,0.092,0.123,0.08
0.086,0.096,0.112,0.086,0.09,0.093,0.126,0.08
0.087,0.098,0.114,0.087,0.091,0.094,0.128,0.081
0.087,0.098,0.115,0.088,0.091,0.094,0.13,0.081
0.088,0.099,0.116,0.088,0.092,0.095,0.132,0.081
0.089,0.1,0.118,0.089,0.093,0.096,0.135,0.082
0.09,0.101,0.119,0.089,0.093,0.096,0.136,0.082
0.09,0.101,0.12,0.09,0.094,0.097,0.138,0.082
0.091,0.102,0.122,0.09,0.095,0.097,0.14,0.083
0.091,0.103,0.123,0.091,0.095,0.098,0.142,0.083
0.091,0.104,0.124,0.091,0.096,0.098,0.144,0.083
0.093,0.105,0.125,0.092,0.096,0.099,0.147,0.084
0.092,0.105,0.126,0.092,0.097,0.099,0.148,0.084
0.093,0.106,0.127,0.093,0.098,0.1,0.15,0.085
0.094,0.107,0.128,0.093,0.098,0.101,0.152,0.085
0.094,0.107,0.13,0.094,0.099,0.101,0.154,0.085
0.095,0.108,0.13,0.094,0.099,0.102,0.156,0.086
0.095,0.108,0.132,0.095,0.1,0.102,0.158,0.086
0.095,0.109,0.133,0.095,0.101,0.103,0.16,0.086
0.096,0.11,0.134,0.096,0.101,0.103,0.162,0.087
0.096,0.111,0.134,0.096,0.102,0.104,0.164,0.087
0.097,0.111,0.135,0.097,0.102,0.104,0.166,0.087
0.097,0.112,0.136,0.097,0.103,0.105,0.167,0.088
0.098,0.112,0.137,0.097,0.103,0.105,0.169,0.088
0.099,0.113,0.138,0.098,0.104,0.106,0.171,0.089
0.098,0.114,0.14,0.098,0.105,0.106,0.173,0.089
0.099,0.115,0.14,0.099,0.105,0.107,0.175,0.089
0.1,0.115,0.141,0.099,0.106,0.107,0.176,0.089
0.1,0.116,0.141,0.1,0.106,0.108,0.178,0.09
0.101,0.116,0.142,0.1,0.107,0.108,0.18,0.09
0.101,0.117,0.143,0.101,0.107,0.109,0.181,0.091
0.102,0.117,0.144,0.101,0.108,0.109,0.183,0.091
0.102,0.118,0.145,0.102,0.108,0.11,0.185,0.091
0.103,0.119,0.146,0.102,0.109,0.11,0.186,0.092
0.103,0.119,0.147,0.102,0.109,0.111,0.188,0.092
0.103,0.12,0.147,0.103,0.11,0.111,0.189,0.092
0.104,0.12,0.148,0.103,0.11,0.111,0.191,0.093
0.105,0.121,0.15,0.104,0.111,0.112,0.192,0.093
0.105,0.121,0.15,0.104,0.111,0.112,0.194,0.094
0.106,0.122,0.15,0.105,0.112,0.113,0.195,0.094
0.106,0.122,0.151,0.105,0.112,0.113,0.197,0.094
0.106,0.123,0.152,0.106,0.113,0.114,0.198,0.095
0.107,0.124,0.153,0.106,0.113,0.114,0.2,0.095
0.108,0.124,0.153,0.106,0.114,0.115,0.201,0.095
0.108,0.125,0.154,0.107,0.114,0.115,0.203,0.096
0.108,0.125,0.155,0.107,0.115,0.116,0.204,0.096
0.109,0.126,0.155,0.107,0.115,0.116,0.205,0.096
0.109,0.126,0.156,0.108,0.115,0.116,0.206,0.097
0.11,0.127,0.157,0.108,0.116,0.117,0.207,0.097
0.11,0.127,0.157,0.109,0.116,0.117,0.209,0.097
0.11,0.128,0.16,0.109,0.117,0.117,0.21,0.098
0.111,0.128,0.159,0.11,0.117,0.118,0.211,0.098
0.112,0.129,0.16,0.11,0.118,0.118,0.212,0.098
0.112,0.129,0.16,0.11,0.118,0.119,0.214,0.099
0.112,0.13,0.161,0.111,0.119,0.119,0.215,0.099
