Time,T° 450,A1,A2,B1,B2,C1,C2,D1,D2,E1,E2,F1,F2,G1,G2,H1,H2
0:00:05,0,0.076,0.075,0.074,0.072,0.072,0.071,0.071,0.073,0.071,0.071,0.072,0.07,0.072,0.127,0.076,0.071
0:01:05,0,0.08,0.08,0.076,0.073,0.073,0.071,0.072,0.074,0.071,0.071,0.072,0.07,0.072,0.126,0.076,0.071
0:02:05,0,0.085,0.085,0.078,0.075,0.073,0.072,0.072,0.074,0.071,0.072,0.073,0.07,0.072,0.122,0.076,0.073
0:03:05,0,0.092,0.09,0.08,0.077,0.075,0.073,0.072,0.075,0.072,0.072,0.073,0.07,0.073,0.115,0.076,0.075
0:04:05,0,0.099,0.097,0.083,0.08,0.076,0.074,0.072,0.075,0.073,0.073,0.074,0.07,0.072,0.105,0.076,0.071
0:05:05,0,0.106,0.104,0.086,0.083,0.077,0.075,0.072,0.076,0.074,0.074,0.075,0.07,0.072,0.071,0.076,0.072
0:06:05,0,0.114,0.112,0.089,0.086,0.079,0.077,0.073,0.076,0.074,0.075,0.075,0.07,0.072,0.071,0.076,0.072
0:07:05,0,0.122,0.12,0.093,0.089,0.081,0.078,0.074,0.077,0.075,0.076,0.075,0.07,0.072,0.076,0.076,0.071
0:08:05,0,0.13,0.129,0.097,0.093,0.083,0.08,0.075,0.078,0.075,0.076,0.074,0.07,0.072,0.071,0.076,0.071
0:09:05,0,0.139,0.138,0.101,0.097,0.085,0.082,0.077,0.079,0.076,0.075,0.074,0.071,0.072,0.072,0.076,0.071
0:10:05,0,0.148,0.147,0.105,0.101,0.087,0.084,0.078,0.08,0.076,0.074,0.074,0.071,0.072,0.079,0.076,0.072
0:11:05,0,0.158,0.157,0.108,0.105,0.089,0.086,0.079,0.082,0.076,0.073,0.074,0.071,0.072,0.072,0.076,0.073
0:12:05,0,0.168,0.167,0.112,0.109,0.091,0.088,0.081,0.083,0.075,0.073,0.075,0.072,0.072,0.072,0.076,0.072
0:13:05,0,0.177,0.178,0.116,0.113,0.093,0.09,0.082,0.085,0.074,0.074,0.075,0.072,0.073,0.072,0.076,0.072
0:14:05,0,0.187,0.188,0.121,0.118,0.096,0.092,0.083,0.087,0.074,0.074,0.075,0.073,0.073,0.072,0.077,0.072
0:15:05,0,0.198,0.199,0.125,0.122,0.098,0.095,0.085,0.089,0.074,0.075,0.075,0.073,0.073,0.073,0.077,0.073
0:16:05,0,0.208,0.209,0.129,0.127,0.101,0.097,0.085,0.09,0.075,0.077,0.076,0.074,0.073,0.073,0.077,0.072
0:17:05,0,0.218,0.22,0.134,0.132,0.103,0.1,0.086,0.092,0.076,0.078,0.076,0.074,0.073,0.073,0.077,0.073
0:18:05,0,0.229,0.231,0.138,0.136,0.106,0.103,0.086,0.093,0.076,0.079,0.076,0.074,0.074,0.073,0.077,0.073
0:19:05,0,0.239,0.242,0.143,0.141,0.109,0.105,0.085,0.093,0.077,0.08,0.077,0.075,0.074,0.073,0.077,0.072
0:20:05,0,0.25,0.253,0.148,0.146,0.111,0.108,0.085,0.092,0.078,0.08,0.077,0.075,0.074,0.074,0.077,0.073
0:21:05,0,0.261,0.264,0.153,0.151,0.114,0.111,0.084,0.091,0.079,0.081,0.078,0.075,0.074,0.074,0.078,0.073
0:22:05,0,0.272,0.276,0.158,0.157,0.117,0.114,0.083,0.089,0.08,0.082,0.078,0.076,0.074,0.074,0.078,0.074
0:23:05,0,0.283,0.287,0.163,0.162,0.12,0.117,0.083,0.087,0.081,0.082,0.079,0.076,0.075,0.074,0.078,0.074
0:24:05,0,0.294,0.298,0.168,0.167,0.122,0.12,0.083,0.086,0.082,0.083,0.079,0.076,0.075,0.075,0.078,0.074
0:25:05,0,0.305,0.31,0.173,0.172,0.125,0.122,0.084,0.086,0.084,0.084,0.079,0.077,0.075,0.075,0.078,0.074
0:26:05,0,0.317,0.321,0.179,0.178,0.127,0.124,0.085,0.086,0.085,0.084,0.08,0.077,0.075,0.075,0.078,0.074
0:27:05,0,0.329,0.333,0.185,0.184,0.13,0.126,0.086,0.088,0.087,0.085,0.08,0.078,0.075,0.075,0.078,0.074
0:28:05,0,0.34,0.344,0.191,0.189,0.132,0.128,0.088,0.089,0.087,0.086,0.081,0.078,0.076,0.076,0.079,0.074
0:29:05,0,0.351,0.356,0.197,0.195,0.134,0.13,0.091,0.092,0.088,0.086,0.081,0.078,0.076,0.076,0.079,0.074
0:30:05,0,0.363,0.368,0.203,0.2,0.136,0.131,0.093,0.093,0.088,0.087,0.081,0.079,0.076,0.076,0.079,0.074
0:31:05,0,0.374,0.38,0.208,0.205,0.138,0.132,0.096,0.094,0.089,0.087,0.081,0.079,0.076,0.076,0.079,0.074
0:32:05,0,0.387,0.392,0.214,0.21,0.14,0.134,0.099,0.097,0.089,0.088,0.082,0.079,0.076,0.076,0.079,0.075
0:33:05,0,0.399,0.403,0.219,0.215,0.141,0.135,0.102,0.099,0.09,0.089,0.082,0.08,0.077,0.077,0.079,0.075
0:34:05,0,0.411,0.416,0.225,0.22,0.142,0.135,0.105,0.102,0.09,0.089,0.082,0.08,0.077,0.077,0.08,0.075
0:35:05,0,0.423,0.428,0.23,0.225,0.143,0.136,0.107,0.105,0.091,0.09,0.083,0.08,0.077,0.077,0.08,0.075
0:36:05,0,0.435,0.44,0.234,0.229,0.144,0.137,0.109,0.108,0.091,0.09,0.083,0.081,0.077,0.078,0.08,0.075
0:37:05,0,0.448,0.453,0.238,0.234,0.144,0.137,0.11,0.111,0.092,0.091,0.083,0.081,0.078,0.078,0.08,0.076
0:38:05,0,0.46,0.466,0.243,0.238,0.145,0.137,0.111,0.113,0.092,0.091,0.084,0.081,0.078,0.078,0.08,0.076
0:39:05,0,0.472,0.478,0.247,0.242,0.146,0.138,0.112,0.115,0.093,0.092,0.084,0.082,0.078,0.078,0.08,0.076
0:40:05,0,0.484,0.491,0.251,0.246,0.146,0.139,0.113,0.117,0.093,0.093,0.084,0.082,0.078,0.079,0.08,0.076
0:41:05,0,0.494,0.504,0.255,0.25,0.148,0.14,0.115,0.119,0.094,0.093,0.084,0.082,0.079,0.079,0.081,0.076
0:42:05,0,0.507,0.516,0.26,0.253,0.149,0.142,0.116,0.12,0.094,0.094,0.085,0.083,0.079,0.079,0.081,0.076
0:43:05,0,0.516,0.528,0.266,0.256,0.15,0.142,0.117,0.121,0.095,0.095,0.085,0.083,0.079,0.079,0.081,0.076
0:44:05,0,0.525,0.54,0.271,0.26,0.152,0.143,0.118,0.122,0.095,0.095,0.085,0.083,0.079,0.079,0.081,0.077
0:45:05,0,0.536,0.553,0.275,0.261,0.153,0.144,0.119,0.123,0.096,0.096,0.086,0.084,0.079,0.08,0.081,0.077
0:46:05,0,0.544,0.564,0.28,0.265,0.155,0.145,0.12,0.124,0.096,0.096,0.086,0.084,0.079,0.08,0.081,0.077
0:47:05,0,0.553,0.575,0.285,0.266,0.155,0.145,0.121,0.125,0.097,0.097,0.086,0.084,0.08,0.08,0.083,0.077
0:48:05,0,0.561,0.586,0.289,0.269,0.156,0.146,0.122,0.126,0.098,0.097,0.086,0.084,0.08,0.08,0.082,0.078
0:49:05,0,0.568,0.596,0.292,0.271,0.157,0.147,0.123,0.127,0.098,0.098,0.087,0.085,0.08,0.081,0.082,0.078
0:50:05,0,0.572,0.604,0.295,0.275,0.16,0.148,0.124,0.128,0.099,0.099,0.087,0.085,0.08,0.081,0.082,0.078
0:51:05,0,0.583,0.615,0.297,0.276,0.161,0.15,0.125,0.13,0.099,0.099,0.087,0.086,0.08,0.081,0.082,0.078
0:52:05,0,0.588,0.625,0.299,0.279,0.162,0.151,0.126,0.131,0.1,0.099,0.087,0.086,0.08,0.082,0.082,0.079
0:53:05,0,0.595,0.634,0.302,0.282,0.165,0.151,0.127,0.132,0.1,0.1,0.088,0.086,0.081,0.082,0.082,0.079
0:54:05,0,0.601,0.642,0.304,0.284,0.166,0.151,0.129,0.133,0.101,0.101,0.088,0.086,0.081,0.082,0.082,0.079
0:55:05,0,0.603,0.646,0.308,0.288,0.168,0.151,0.13,0.134,0.102,0.101,0.088,0.087,0.081,0.082,0.083,0.079
0:56:05,0,0.611,0.656,0.309,0.289,0.168,0.151,0.131,0.135,0.102,0.102,0.088,0.087,0.081,0.082,0.083,0.08
0:57:05,0,0.618,0.665,0.314,0.293,0.17,0.152,0.132,0.136,0.102,0.102,0.089,0.087,0.082,0.082,0.083,0.079
