Time,A1,A2,B1,B2,C1,C2,D1,D2,E1,E2,F1,F2,G1,G2,H1,H2
0:00:05,0.002,0.002,0.001,-0.001,-0.002,-0.003,-0.002,-0.001,-0.003,-0.002,-0.002,-0.004,-0.001,0.054,0.002,-0.002
0:01:05,0.007,0.006,0.002,0,-0.001,-0.002,-0.002,0,-0.003,-0.002,-0.001,-0.004,-0.002,0.052,0.002,-0.002
0:02:05,0.011,0.01,0.003,0,-0.001,-0.003,-0.003,0,-0.003,-0.003,-0.002,-0.005,-0.003,0.048,0.001,-0.001
0:03:05,0.016,0.015,0.004,0.002,-0.001,-0.003,-0.004,-0.001,-0.004,-0.003,-0.002,-0.005,-0.003,0.039,0,0
0:04:05,0.025,0.024,0.009,0.006,0.003,0.001,-0.001,0.002,-0.001,0,0,-0.003,-0.002,0.032,0.002,-0.002
0:05:05,0.032,0.03,0.012,0.009,0.004,0.001,-0.001,0.002,0,0,0.001,-0.003,-0.002,-0.002,0.002,-0.002
0:06:05,0.04,0.038,0.016,0.012,0.005,0.003,0,0.003,0.001,0.001,0.002,-0.003,-0.002,-0.002,0.002,-0.002
0:07:05,0.049,0.047,0.02,0.016,0.008,0.005,0.001,0.004,0.001,0.002,0.001,-0.003,-0.002,0.002,0.002,-0.002
0:08:05,0.057,0.055,0.023,0.019,0.009,0.006,0.002,0.004,0.002,0.003,0.001,-0.003,-0.001,-0.002,0.002,-0.002
0:09:05,0.066,0.064,0.027,0.023,0.011,0.008,0.003,0.005,0.002,0.002,0,-0.003,-0.002,-0.002,0.002,-0.002
0:10:05,0.075,0.074,0.031,0.027,0.013,0.01,0.004,0.006,0.002,0,0,-0.003,-0.002,0.005,0.002,-0.002
0:11:05,0.083,0.083,0.034,0.03,0.014,0.011,0.005,0.007,0.001,-0.002,0,-0.003,-0.002,-0.002,0.002,-0.002
0:12:05,0.094,0.093,0.038,0.035,0.017,0.014,0.007,0.009,0.001,-0.001,0.001,-0.002,-0.002,-0.002,0.002,-0.002
0:13:05,0.103,0.103,0.042,0.039,0.019,0.016,0.008,0.011,0,-0.001,0.001,-0.002,-0.002,-0.002,0.002,-0.002
