Time,T° 450,C1,D1,E1,F1,G1,H1
0:00:05,0,0.07,0.078,0.071,0.068,0.069,0.088
0:01:05,0,0.071,0.087,0.075,0.07,0.07,0.087
0:02:05,0,0.072,0.098,0.079,0.072,0.072,0.088
0:03:05,0,0.073,0.108,0.084,0.074,0.073,0.088
0:04:05,0,0.074,0.117,0.089,0.077,0.075,0.088
0:05:05,0,0.074,0.127,0.094,0.08,0.076,0.09
0:06:05,0,0.074,0.137,0.099,0.083,0.078,0.089
0:07:05,0,0.075,0.148,0.104,0.085,0.079,0.089
0:08:05,0,0.075,0.158,0.11,0.088,0.079,0.089
0:09:05,0,0.075,0.169,0.115,0.091,0.081,0.089
0:10:05,0,0.076,0.18,0.121,0.094,0.082,0.089
0:11:05,0,0.076,0.192,0.127,0.097,0.084,0.09
0:12:05,0,0.076,0.203,0.133,0.101,0.085,0.09
0:13:05,0,0.076,0.215,0.138,0.103,0.087,0.09
0:14:05,0,0.076,0.227,0.144,0.107,0.089,0.09
0:15:05,0,0.076,0.238,0.15,0.11,0.09,0.091
0:16:05,0,0.077,0.25,0.157,0.113,0.092,0.091
0:17:05,0,0.077,0.262,0.163,0.116,0.093,0.091
0:18:05,0,0.077,0.274,0.17,0.12,0.095,0.091
0:19:05,0,0.077,0.286,0.176,0.123,0.097,0.092
0:20:05,0,0.078,0.299,0.183,0.126,0.098,0.091
0:21:05,0,0.078,0.311,0.189,0.13,0.1,0.092
0:22:05,0,0.078,0.323,0.196,0.133,0.101,0.092
0:23:05,0,0.078,0.335,0.202,0.136,0.103,0.092
0:24:05,0,0.078,0.348,0.209,0.14,0.105,0.092
0:25:05,0,0.079,0.361,0.215,0.143,0.106,0.092
0:26:05,0,0.079,0.372,0.221,0.146,0.108,0.092
0:27:05,0,0.079,0.384,0.228,0.149,0.109,0.092
0:28:05,0,0.079,0.396,0.234,0.153,0.11,0.092
0:29:05,0,0.079,0.407,0.241,0.156,0.111,0.092
0:30:05,0,0.079,0.418,0.247,0.159,0.112,0.092
0:31:05,0,0.08,0.429,0.252,0.161,0.113,0.092
0:32:05,0,0.08,0.44,0.258,0.163,0.114,0.092
0:33:05,0,0.08,0.449,0.263,0.166,0.115,0.092
0:34:05,0,0.08,0.459,0.268,0.168,0.116,0.092
0:35:05,0,0.08,0.467,0.272,0.169,0.118,0.092
0:36:05,0,0.08,0.473,0.276,0.171,0.12,0.092
0:37:05,0,0.08,0.482,0.28,0.172,0.122,0.092
0:38:05,0,0.081,0.486,0.282,0.174,0.124,0.092
0:39:05,0,0.08,0.492,0.285,0.177,0.126,0.092
0:40:05,0,0.081,0.497,0.288,0.18,0.129,0.093
0:41:05,0,0.081,0.501,0.29,0.184,0.131,0.093
0:42:05,0,0.08,0.505,0.293,0.188,0.133,0.093
0:43:05,0,0.08,0.512,0.297,0.192,0.135,0.093
0:44:05,0,0.081,0.522,0.303,0.196,0.138,0.093
0:45:05,0,0.081,0.533,0.31,0.201,0.14,0.094
0:46:05,0,0.081,0.549,0.318,0.205,0.141,0.093
0:47:04,0,0.081,0.565,0.327,0.209,0.143,0.093
0:48:05,0,0.082,0.584,0.336,0.213,0.145,0.093
0:49:05,0,0.082,0.603,0.345,0.217,0.147,0.094
0:50:05,0,0.082,0.622,0.355,0.221,0.149,0.094
0:51:05,0,0.082,0.639,0.364,0.224,0.15,0.094
0:52:05,0,0.082,0.658,0.373,0.228,0.152,0.094
0:53:05,0,0.083,0.673,0.382,0.231,0.154,0.094
0:54:05,0,0.083,0.689,0.39,0.235,0.155,0.094
0:55:05,0,0.083,0.702,0.398,0.238,0.157,0.095
0:56:05,0,0.083,0.715,0.405,0.241,0.158,0.095
0:57:05,0,0.083,0.727,0.412,0.245,0.16,0.094
0:58:05,0,0.083,0.74,0.418,0.248,0.162,0.095
0:59:05,0,0.085,0.751,0.425,0.251,0.164,0.095
1:00:05,0,0.084,0.763,0.432,0.255,0.165,0.095
1:01:05,0,0.084,0.774,0.438,0.258,0.167,0.095
1:02:05,0,0.084,0.785,0.444,0.261,0.168,0.095
1:03:05,0,0.084,0.796,0.451,0.264,0.17,0.095
1:04:05,0,0.084,0.806,0.457,0.267,0.172,0.095
