Time,T° 450,A1,B1,C1,D1,E1,F1,G1,H1
0:00:05,0,0.074,0.073,0.07,0.078,0.073,0.071,0.07,0.069
0:01:05,0,0.075,0.074,0.071,0.079,0.073,0.072,0.07,0.07
0:02:05,0,0.076,0.075,0.072,0.08,0.074,0.073,0.07,0.07
0:03:05,0,0.078,0.076,0.073,0.08,0.076,0.074,0.071,0.07
0:04:05,0,0.08,0.077,0.074,0.081,0.077,0.075,0.071,0.071
0:05:05,0,0.081,0.079,0.075,0.082,0.079,0.077,0.071,0.071
0:06:05,0,0.083,0.081,0.076,0.083,0.082,0.078,0.072,0.071
0:07:05,0,0.085,0.082,0.078,0.085,0.084,0.08,0.072,0.071
0:08:05,0,0.087,0.084,0.079,0.086,0.087,0.082,0.072,0.072
0:09:05,0,0.09,0.086,0.081,0.088,0.09,0.084,0.073,0.072
0:10:05,0,0.092,0.088,0.083,0.089,0.093,0.087,0.073,0.073
0:11:05,0,0.095,0.091,0.085,0.091,0.097,0.09,0.073,0.073
0:12:05,0,0.098,0.093,0.086,0.092,0.099,0.091,0.074,0.073
0:13:05,0,0.101,0.096,0.088,0.094,0.103,0.094,0.074,0.074
0:14:05,0,0.104,0.099,0.09,0.096,0.106,0.096,0.075,0.074
0:15:05,0,0.107,0.102,0.091,0.098,0.111,0.099,0.075,0.074
0:16:05,0,0.111,0.105,0.093,0.099,0.114,0.101,0.075,0.075
0:17:05,0,0.114,0.108,0.095,0.101,0.118,0.104,0.076,0.075
0:18:05,0,0.117,0.11,0.097,0.103,0.122,0.107,0.076,0.075
0:19:05,0,0.12,0.113,0.099,0.105,0.126,0.11,0.077,0.076
0:20:05,0,0.123,0.115,0.101,0.106,0.13,0.113,0.077,0.076
0:21:05,0,0.126,0.118,0.103,0.108,0.134,0.116,0.077,0.076
0:22:05,0,0.128,0.12,0.105,0.11,0.138,0.119,0.078,0.077
0:23:05,0,0.131,0.122,0.107,0.112,0.142,0.122,0.078,0.077
0:24:05,0,0.134,0.125,0.109,0.114,0.145,0.126,0.078,0.078
0:25:05,0,0.136,0.127,0.112,0.115,0.149,0.129,0.079,0.078
0:26:05,0,0.139,0.13,0.114,0.117,0.154,0.132,0.079,0.078
0:27:05,0,0.141,0.132,0.116,0.119,0.158,0.136,0.08,0.079
0:28:05,0,0.144,0.134,0.118,0.121,0.162,0.139,0.08,0.079
0:29:05,0,0.146,0.137,0.12,0.122,0.166,0.142,0.08,0.079
0:30:05,0,0.148,0.139,0.123,0.124,0.17,0.145,0.081,0.08
0:31:05,0,0.151,0.141,0.125,0.126,0.174,0.148,0.081,0.08
0:32:05,0,0.153,0.143,0.127,0.128,0.178,0.151,0.081,0.08
0:33:05,0,0.155,0.145,0.129,0.129,0.182,0.154,0.082,0.081
0:34:05,0,0.157,0.147,0.131,0.131,0.185,0.157,0.082,0.081
0:35:05,0,0.159,0.149,0.133,0.133,0.19,0.16,0.083,0.081
0:36:05,0,0.161,0.151,0.135,0.134,0.193,0.164,0.083,0.082
0:37:05,0,0.163,0.153,0.138,0.136,0.197,0.167,0.083,0.082
0:38:05,0,0.166,0.155,0.14,0.138,0.201,0.17,0.084,0.083
0:39:05,0,0.167,0.157,0.142,0.139,0.205,0.172,0.084,0.083
0:40:05,0,0.169,0.159,0.144,0.141,0.208,0.175,0.084,0.083
0:41:05,0,0.171,0.161,0.146,0.143,0.212,0.178,0.085,0.084
0:42:05,0,0.173,0.163,0.148,0.144,0.216,0.181,0.085,0.084
0:43:05,0,0.175,0.165,0.15,0.146,0.219,0.184,0.085,0.084
0:44:05,0,0.176,0.167,0.152,0.147,0.223,0.187,0.086,0.085
0:45:05,0,0.178,0.168,0.154,0.149,0.226,0.19,0.086,0.085
0:46:05,0,0.18,0.17,0.155,0.15,0.23,0.192,0.086,0.085
0:47:05,0,0.181,0.172,0.157,0.152,0.233,0.195,0.087,0.086
0:48:05,0,0.183,0.173,0.159,0.153,0.236,0.197,0.087,0.086
0:49:05,0,0.185,0.175,0.161,0.155,0.24,0.2,0.088,0.086
0:50:05,0,0.186,0.177,0.163,0.156,0.243,0.202,0.088,0.087
0:51:05,0,0.188,0.178,0.165,0.158,0.246,0.205,0.088,0.087
