A1,B1,C1,D1,E1,F1,G1,H1
0.062,0.075,0.062,0.072,0.087,0.074,0.064,0.063
0.062,0.075,0.062,0.072,0.088,0.074,0.064,0.063
0.062,0.075,0.063,0.071,0.089,0.076,0.065,0.064
0.063,0.076,0.063,0.074,0.086,0.077,0.065,0.064
0.063,0.076,0.063,0.073,0.089,0.076,0.066,0.064
0.064,0.077,0.064,0.076,0.086,0.078,0.067,0.065
0.064,0.078,0.064,0.082,0.075,0.076,0.069,0.065
0.065,0.078,0.064,0.083,0.075,0.076,0.07,0.066
0.065,0.079,0.065,0.083,0.075,0.076,0.071,0.066
0.068,0.08,0.066,0.083,0.076,0.078,0.073,0.066
0.067,0.08,0.065,0.083,0.077,0.077,0.074,0.066
0.068,0.081,0.066,0.084,0.077,0.077,0.075,0.067
0.07,0.08,0.067,0.084,0.077,0.079,0.076,0.067
0.07,0.081,0.067,0.085,0.077,0.081,0.077,0.067
0.071,0.081,0.067,0.085,0.078,0.086,0.079,0.068
0.071,0.081,0.068,0.085,0.078,0.083,0.08,0.068
0.07,0.083,0.068,0.085,0.079,0.081,0.081,0.068
0.07,0.083,0.068,0.085,0.079,0.082,0.083,0.068
0.071,0.082,0.069,0.085,0.08,0.083,0.083,0.069
0.072,0.083,0.069,0.086,0.08,0.084,0.085,0.069
0.072,0.082,0.069,0.086,0.08,0.085,0.086,0.069
0.072,0.083,0.069,0.086,0.081,0.085,0.087,0.069
0.072,0.084,0.07,0.087,0.081,0.086,0.088,0.07
0.072,0.084,0.07,0.087,0.081,0.086,0.089,0.07
0.073,0.085,0.07,0.086,0.083,0.086,0.09,0.069
0.073,0.085,0.07,0.086,0.084,0.087,0.09,0.069
0.074,0.084,0.071,0.088,0.082,0.088,0.093,0.071
0.074,0.084,0.071,0.088,0.082,0.089,0.094,0.071
0.074,0.085,0.071,0.088,0.083,0.09,0.095,0.071
0.074,0.085,0.071,0.088,0.083,0.09,0.096,0.072
0.074,0.085,0.072,0.088,0.083,0.091,0.097,0.072
0.074,0.085,0.072,0.089,0.084,0.092,0.098,0.072
0.075,0.085,0.072,0.09,0.084,0.094,0.099,0.072
0.075,0.086,0.072,0.089,0.084,0.093,0.1,0.072
0.076,0.085,0.073,0.09,0.084,0.094,0.101,0.073
0.076,0.086,0.073,0.09,0.084,0.095,0.102,0.073
0.076,0.086,0.073,0.091,0.085,0.096,0.103,0.073
0.076,0.086,0.074,0.091,0.085,0.096,0.104,0.073
0.077,0.087,0.074,0.091,0.085,0.097,0.105,0.074
0.077,0.086,0.074,0.091,0.086,0.097,0.106,0.074
0.077,0.087,0.074,0.091,0.086,0.097,0.106,0.074
0.077,0.087,0.074,0.092,0.086,0.099,0.108,0.075
0.077,0.087,0.075,0.092,0.087,0.099,0.108,0.075
0.079,0.087,0.075,0.092,0.087,0.1,0.109,0.075
0.078,0.088,0.075,0.093,0.087,0.1,0.11,0.075
0.079,0.088,0.075,0.093,0.087,0.101,0.111,0.075
0.079,0.088,0.076,0.093,0.087,0.101,0.112,0.076
0.079,0.089,0.076,0.093,0.088,0.102,0.113,0.076
0.079,0.089,0.076,0.094,0.088,0.102,0.113,0.076
0.079,0.089,0.076,0.094,0.089,0.103,0.114,0.076
0.08,0.089,0.076,0.094,0.089,0.103,0.115,0.077
0.08,0.089,0.077,0.094,0.089,0.104,0.116,0.077
0.08,0.09,0.077,0.095,0.089,0.104,0.116,0.077
0.08,0.09,0.077,0.095,0.09,0.105,0.117,0.077
0.08,0.09,0.078,0.095,0.09,0.106,0.118,0.077
0.08,0.09,0.078,0.095,0.09,0.106,0.119,0.078
0.081,0.09,0.078,0.096,0.091,0.106,0.119,0.078
0.08,0.091,0.079,0.096,0.091,0.107,0.12,0.078
0.081,0.091,0.079,0.096,0.091,0.106,0.121,0.078
0.081,0.091,0.079,0.096,0.091,0.108,0.121,0.079
0.081,0.091,0.079,0.097,0.092,0.109,0.122,0.079
0.081,0.091,0.079,0.097,0.092,0.109,0.123,0.079
0.082,0.092,0.08,0.097,0.092,0.109,0.124,0.079
0.082,0.092,0.08,0.098,0.092,0.109,0.124,0.08
0.082,0.093,0.08,0.097,0.093,0.109,0.125,0.08
0.083,0.093,0.08,0.098,0.093,0.109,0.126,0.08
0.082,0.093,0.08,0.098,0.093,0.11,0.126,0.08
0.083,0.093,0.081,0.098,0.094,0.11,0.127,0.08
0.083,0.093,0.081,0.099,0.094,0.111,0.128,0.081
0.083,0.094,0.081,0.098,0.094,0.112,0.128,0.081
0.084,0.094,0.081,0.099,0.095,0.112,0.129,0.081
0.084,0.095,0.082,0.098,0.096,0.111,0.129,0.08
0.084,0.095,0.082,0.099,0.095,0.112,0.13,0.082
0.084,0.094,0.082,0.099,0.096,0.112,0.131,0.082
0.084,0.095,0.082,0.1,0.096,0.113,0.131,0.082
0.086,0.095,0.083,0.1,0.096,0.114,0.132,0.082
0.085,0.095,0.083,0.1,0.096,0.114,0.132,0.083
0.085,0.096,0.083,0.1,0.097,0.114,0.133,0.083
0.085,0.096,0.084,0.101,0.097,0.115,0.134,0.083
0.086,0.096,0.084,0.101,0.097,0.115,0.134,0.083
0.087,0.096,0.084,0.101,0.097,0.115,0.135,0.083
0.087,0.097,0.084,0.101,0.098,0.116,0.135,0.084
0.086,0.097,0.084,0.101,0.098,0.116,0.136,0.084
0.086,0.097,0.085,0.102,0.098,0.117,0.137,0.084
0.087,0.097,0.085,0.102,0.098,0.117,0.137,0.084
0.087,0.097,0.085,0.102,0.099,0.118,0.138,0.085
0.087,0.097,0.085,0.103,0.099,0.118,0.138,0.085
0.088,0.098,0.085,0.103,0.099,0.119,0.139,0.085
0.087,0.097,0.086,0.103,0.099,0.12,0.139,0.085
0.088,0.098,0.086,0.103,0.1,0.12,0.14,0.086
0.088,0.098,0.086,0.103,0.1,0.12,0.14,0.086
0.089,0.098,0.086,0.104,0.1,0.12,0.141,0.086
0.089,0.099,0.086,0.104,0.1,0.12,0.141,0.086
0.089,0.099,0.087,0.104,0.101,0.121,0.142,0.086
0.089,0.099,0.087,0.104,0.101,0.121,0.142,0.087
0.09,0.1,0.087,0.105,0.101,0.122,0.143,0.087
0.09,0.1,0.088,0.105,0.102,0.123,0.143,0.087
0.09,0.1,0.088,0.105,0.102,0.123,0.144,0.087
0.091,0.1,0.088,0.105,0.102,0.123,0.144,0.087
0.09,0.1,0.088,0.106,0.102,0.124,0.145,0.088
0.09,0.1,0.088,0.106,0.102,0.123,0.145,0.088
0.092,0.101,0.089,0.106,0.103,0.124,0.146,0.088
0.092,0.101,0.089,0.106,0.103,0.124,0.146,0.088
0.091,0.101,0.089,0.106,0.103,0.124,0.147,0.089
0.093,0.102,0.089,0.106,0.104,0.124,0.146,0.088
0.092,0.102,0.09,0.107,0.104,0.125,0.148,0.089
0.093,0.102,0.09,0.107,0.104,0.125,0.148,0.089
0.093,0.102,0.09,0.108,0.105,0.126,0.148,0.09
0.093,0.102,0.09,0.108,0.105,0.126,0.149,0.09
0.093,0.102,0.09,0.108,0.105,0.126,0.149,0.09
0.094,0.103,0.091,0.108,0.105,0.126,0.15,0.09
0.094,0.103,0.091,0.108,0.105,0.127,0.15,0.09
0.094,0.103,0.091,0.108,0.105,0.127,0.15,0.091
0.094,0.104,0.092,0.109,0.106,0.127,0.151,0.091
0.095,0.104,0.092,0.109,0.107,0.128,0.151,0.091
0.095,0.104,0.092,0.109,0.107,0.128,0.151,0.091
0.095,0.104,0.092,0.109,0.107,0.128,0.152,0.091
0.095,0.105,0.092,0.11,0.107,0.128,0.153,0.092
0.096,0.105,0.093,0.11,0.107,0.129,0.153,0.092
0.096,0.105,0.093,0.11,0.108,0.129,0.153,0.092
0.095,0.106,0.093,0.11,0.108,0.13,0.153,0.092
