Well,OD450,Sample,,,,,,,
A1,0.893,stdA_set1_NA,,,,,,,
A2,0.845,stdA_set1_NA,,,,,,,
A3,0.846,stdA_set2_NA,,,,,,,
A4,0.847,stdA_set2_NA,,,,,,,
A5,0.098,WT_DMEM_ms412S,,,,,,,
A6,0.106,WT_DMEM_ms412S,,,,,,,
B1,0.848,stdB_set1_NA,,,,,,,
B2,0.806,stdB_set1_NA,,,,,,,
B3,0.76,stdB_set2_NA,,,,,,,
B4,0.723,stdB_set2_NA,,,,,,,
B5,0.124,MMP3KO_DMEM_ms343S,,,,,,,
B6,0.134,MMP3KO_DMEM_ms343S,,,,,,,
C1,0.731,stdC_set1_NA,,,,,,,
C2,0.724,stdC_set1_NA,,,,,,,
C3,0.533,stdC_set2_NA,,,,,,,
C4,0.537,stdC_set2_NA,,,,,,,
C5,0.663,WT_H1N1_ms408S,,,,,,,
C6,0.745,WT_H1N1_ms408S,,,,,,,
D1,0.588,stdD_set1_NA,,,,,,,
D2,0.598,stdD_set1_NA,,,,,,,
D3,0.316,stdD_set2_NA,,,,,,,
D4,0.313,stdD_set2_NA,,,,,,,
D5,0.475,WT_H1N1_ms409S,,,,,,,
D6,0.517,WT_H1N1_ms409S,,,,,,,
E1,0.425,stdE_set1_NA,,,,,,,
E2,0.419,stdE_set1_NA,,,,,,,
E3,0.159,stdE_set2_NA,,,,,,,
E4,0.159,stdE_set2_NA,,,,,,,
E5,0.707,MMP3KO_H1N1_ms346S,,,,,,,
E6,0.789,MMP3KO_H1N1_ms346S,,,,,,,
F1,0.271,stdF_set1_NA,,,,,,,
F2,0.279,stdF_set1_NA,,,,,,,
F3,0.088,stdF_set2_NA,,,,,,,
F4,0.09,stdF_set2_NA,,,,,,,
F5,0.798,MMP3KO_H1N1_ms422S,,,,,,,
F6,0.933,MMP3KO_H1N1_ms422S,,,,,,,
G1,0.172,stdG_set1_NA,,,,,,,
G2,0.178,stdG_set1_NA,,,,,,,
G3,0.064,stdG_set2_NA,,,,,,,
G4,0.068,stdG_set2_NA,,,,,,,
H1,0.047,blank_set1_NA,,,,,,,
H2,0.049,blank_set1_NA,,,,,,,
H3,0.051,blank_set2_NA,,,,,,,
H4,0.053,blank_set2_NA,,,,,,,
