Well,OD450,Sample
A1,1.855,stdA_NA_NA
A2,1.803,stdA_NA_NA
B1,1.74,stdB_NA_NA
B2,1.743,stdB_NA_NA
C1,1.706,stdC_NA_NA
C2,1.707,stdC_NA_NA
D1,1.577,stdD_NA_NA
D2,1.644,stdD_NA_NA
E1,1.436,stdE_NA_NA
E2,1.524,stdE_NA_NA
F1,1.251,stdF_NA_NA
F2,1.257,stdF_NA_NA
G1,0.898,stdG_NA_NA
G2,1.039,stdG_NA_NA
H1,0.254,blank_NA_NA
H2,0.261,blank_NA_NA
A5,0.713,MMP3KO_DMEM_ms343
A6,0.675,MMP3KO_DMEM_ms343
B5,1.762,MMP3KO_H1N1_ms346S
B6,1.819,MMP3KO_H1N1_ms346S
C5,1.77,WT_H1N1_ms408S
C6,1.879,WT_H1N1_ms408S
D5,1.63,WT_H1N1_ms409S
D6,1.711,WT_H1N1_ms409S
E5,1.79,MMP3KO_H1N1_ms422S
E6,1.823,MMP3KO_H1N1_ms422S
F5,0.471,WT_DMEM_ms412S
F6,0.526,WT_DMEM_ms412S
