Time,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,F4,G1,G2,G3,G4,H1,H2,H3
0:00:05,0.005,0.007,0.005,0.013,0.006,0.005,0.005,0.006,0.006,0.005,0.007,0.007,0.006,0.005,0.006,0.007,0.009,0.005,0.006,0.008,0.005,0.005,0.005,0.006,0.005,0.005,0.007,-0.003,0.006,0.004,0.007
0:01:05,0.005,0.007,0.005,0.013,0.006,0.005,0.006,0.006,0.006,0.005,0.007,0.006,0.005,0.005,0.005,0.007,0.009,0.005,0.006,0.008,0.005,0.005,0.005,0.006,0.005,0.005,0.007,-0.003,0.006,0.004,0.007
0:02:05,0.005,0.007,0.005,0.013,0.006,0.006,0.005,0.006,0.006,0.005,0.007,0.006,0.006,0.005,0.005,0.007,0.009,0.005,0.006,0.008,0.006,0.006,0.005,0.007,0.006,0.005,0.007,-0.003,0.006,0.004,0.007
0:03:05,0.006,0.007,0.005,0.014,0.006,0.006,0.005,0.006,0.005,0.005,0.007,0.007,0.005,0.005,0.006,0.007,0.009,0.005,0.006,0.008,0.006,0.006,0.005,0.007,0.006,0.005,0.007,-0.003,0.006,0.004,0.008
0:04:05,0.006,0.007,0.005,0.014,0.006,0.006,0.005,0.006,0.006,0.004,0.007,0.007,0.006,0.005,0.006,0.007,0.01,0.005,0.006,0.008,0.006,0.006,0.005,0.007,0.006,0.005,0.008,-0.003,0.006,0.004,0.008
0:05:05,0.006,0.007,0.005,0.015,0.006,0.006,0.006,0.006,0.006,0.005,0.007,0.008,0.006,0.005,0.006,0.008,0.011,0.005,0.006,0.009,0.006,0.006,0.006,0.008,0.006,0.005,0.009,-0.003,0.006,0.005,0.01
0:06:05,0.007,0.007,0.005,0.016,0.006,0.006,0.006,0.007,0.006,0.005,0.007,0.008,0.006,0.005,0.006,0.008,0.011,0.005,0.006,0.009,0.007,0.006,0.006,0.009,0.007,0.005,0.009,-0.002,0.006,0.005,0.01
0:07:05,0.007,0.007,0.006,0.016,0.006,0.006,0.006,0.007,0.006,0.005,0.007,0.009,0.006,0.005,0.006,0.009,0.012,0.005,0.007,0.01,0.007,0.006,0.006,0.01,0.007,0.005,0.01,-0.002,0.006,0.005,0.011
0:08:05,0.007,0.008,0.006,0.017,0.007,0.006,0.006,0.007,0.006,0.005,0.007,0.01,0.006,0.005,0.006,0.009,0.012,0.005,0.007,0.01,0.008,0.006,0.006,0.011,0.007,0.005,0.011,-0.001,0.007,0.005,0.011
0:09:05,0.008,0.008,0.005,0.017,0.006,0.006,0.006,0.007,0.006,0.005,0.007,0.011,0.006,0.005,0.006,0.01,0.013,0.005,0.007,0.011,0.008,0.006,0.006,0.012,0.007,0.005,0.013,0,0.007,0.005,0.012
0:10:05,0.008,0.009,0.006,0.018,0.007,0.006,0.006,0.008,0.006,0.005,0.007,0.012,0.006,0.005,0.007,0.01,0.014,0.005,0.008,0.012,0.009,0.006,0.007,0.013,0.008,0.005,0.013,0.001,0.007,0.006,0.013
0:11:05,0.009,0.009,0.006,0.019,0.007,0.006,0.006,0.008,0.006,0.005,0.007,0.012,0.006,0.005,0.007,0.011,0.014,0.006,0.008,0.013,0.009,0.006,0.007,0.015,0.008,0.006,0.014,0.001,0.007,0.006,0.015
0:12:05,0.009,0.009,0.006,0.02,0.007,0.007,0.006,0.009,0.006,0.005,0.008,0.013,0.006,0.005,0.007,0.011,0.016,0.006,0.009,0.014,0.01,0.006,0.007,0.016,0.009,0.006,0.015,0.002,0.008,0.006,0.015
0:13:05,0.01,0.01,0.006,0.021,0.007,0.007,0.006,0.009,0.006,0.005,0.008,0.014,0.006,0.006,0.008,0.012,0.016,0.006,0.009,0.014,0.01,0.006,0.007,0.018,0.009,0.006,0.017,0.003,0.008,0.006,0.017
0:14:05,0.01,0.01,0.007,0.022,0.007,0.008,0.006,0.009,0.006,0.005,0.008,0.015,0.006,0.006,0.008,0.012,0.017,0.006,0.01,0.015,0.011,0.006,0.008,0.02,0.01,0.006,0.017,0.005,0.009,0.007,0.018
0:15:05,0.011,0.011,0.007,0.022,0.007,0.008,0.007,0.01,0.006,0.006,0.008,0.016,0.006,0.006,0.009,0.013,0.018,0.006,0.011,0.015,0.011,0.006,0.008,0.021,0.01,0.006,0.018,0.006,0.009,0.007,0.018
0:16:05,0.011,0.011,0.007,0.024,0.007,0.008,0.007,0.01,0.006,0.006,0.008,0.017,0.006,0.006,0.009,0.013,0.019,0.006,0.011,0.017,0.012,0.006,0.008,0.023,0.011,0.006,0.019,0.008,0.009,0.008,0.019
0:17:05,0.012,0.012,0.007,0.024,0.007,0.009,0.007,0.011,0.007,0.006,0.008,0.018,0.006,0.006,0.01,0.014,0.02,0.007,0.012,0.018,0.013,0.007,0.009,0.025,0.011,0.007,0.021,0.009,0.009,0.008,0.021
0:18:05,0.012,0.012,0.007,0.025,0.007,0.009,0.007,0.011,0.007,0.006,0.008,0.018,0.007,0.007,0.01,0.014,0.021,0.007,0.012,0.02,0.013,0.007,0.009,0.027,0.012,0.007,0.023,0.011,0.01,0.008,0.022
0:19:05,0.013,0.013,0.008,0.026,0.008,0.009,0.007,0.011,0.007,0.006,0.009,0.019,0.007,0.007,0.011,0.015,0.021,0.007,0.013,0.021,0.014,0.007,0.01,0.029,0.012,0.007,0.024,0.012,0.01,0.009,0.023
0:20:05,0.013,0.013,0.008,0.027,0.008,0.01,0.007,0.011,0.007,0.007,0.009,0.02,0.007,0.007,0.011,0.015,0.022,0.007,0.014,0.022,0.014,0.007,0.01,0.03,0.012,0.007,0.026,0.014,0.01,0.009,0.024
0:21:05,0.014,0.014,0.008,0.028,0.008,0.01,0.008,0.012,0.007,0.007,0.009,0.021,0.007,0.007,0.012,0.016,0.023,0.007,0.014,0.024,0.015,0.007,0.011,0.032,0.013,0.007,0.027,0.016,0.011,0.01,0.025
0:22:05,0.014,0.015,0.009,0.029,0.008,0.011,0.008,0.012,0.007,0.007,0.009,0.022,0.007,0.007,0.012,0.016,0.024,0.008,0.015,0.025,0.016,0.007,0.011,0.035,0.013,0.008,0.028,0.018,0.011,0.01,0.026
0:23:05,0.015,0.016,0.009,0.03,0.008,0.011,0.008,0.013,0.007,0.007,0.009,0.022,0.007,0.008,0.013,0.017,0.024,0.008,0.016,0.026,0.016,0.007,0.012,0.037,0.014,0.008,0.03,0.019,0.011,0.01,0.027
0:24:05,0.016,0.016,0.008,0.03,0.008,0.011,0.008,0.013,0.007,0.007,0.009,0.023,0.007,0.008,0.013,0.017,0.025,0.008,0.016,0.028,0.017,0.007,0.012,0.039,0.014,0.008,0.032,0.021,0.012,0.011,0.028
0:25:05,0.016,0.017,0.009,0.031,0.008,0.012,0.008,0.013,0.007,0.007,0.01,0.024,0.007,0.008,0.014,0.018,0.026,0.008,0.017,0.029,0.018,0.008,0.013,0.041,0.015,0.009,0.033,0.023,0.012,0.011,0.029
