Well ID,Name,Well,"Mean RFU [354,456]",Count,Mean,Std Dev,CV (%)
SPL1,nobleo_Alda0uM_rep1,A1,10986,1,10986,?????,?????
SPL2,nobleo_Alda5uM_rep1,A2,10946,1,10946,?????,?????
SPL3,nobleo_Alda40uM_rep1,A3,10733,1,10733,?????,?????
SPL4,plusbleo_Alda0uM_rep1,A4,3135,1,3135,?????,?????
SPL5,plusbleo_Alda5uM_rep1,A5,3169,1,3169,?????,?????
SPL6,plusbleo_Alda40uM_rep1,A6,3229,1,3229,?????,?????
SPL7,nobleo_Alda0uM_rep2,B1,10659,1,10659,?????,?????
SPL8,nobleo_Alda5uM_rep2,B2,9390,1,9390,?????,?????
SPL9,nobleo_Alda40uM_rep2,B3,8510,1,8510,?????,?????
SPL10,plusbleo_Alda0uM_rep2,B4,2819,1,2819,?????,?????
SPL11,plusbleo_Alda5uM_rep2,B5,3026,1,3026,?????,?????
SPL12,plusbleo_Alda40uM_rep2,B6,3084,1,3084,?????,?????
SPL13,nobleo_Alda0uM_rep3,C1,10505,1,10505,?????,?????
SPL14,nobleo_Alda5uM_rep3,C2,9576,1,9576,?????,?????
SPL15,nobleo_Alda40uM_rep3,C3,9320,1,9320,?????,?????
SPL16,plusbleo_Alda0uM_rep3,C4,2904,1,2904,?????,?????
SPL17,plusbleo_Alda5uM_rep3,C5,2890,1,2890,?????,?????
SPL18,plusbleo_Alda40uM_rep3,C6,2906,1,2906,?????,?????
SPL19,NA_NA_blank1,D1,1747,1,1747,?????,?????
SPL20,NA_NA_blank2,D2,1854,1,1854,?????,?????
SPL21,NA_NA_blank3,D3,1889,1,1889,?????,?????
SPL22,NA_NA_blank4,D4,1846,1,1846,?????,?????
SPL23,NA_NA_blank5,D5,1835,1,1835,?????,?????
SPL24,NA_NA_blank6,D6,1751,1,1751,?????,?????
