Well ID,Name,Well,Mean OD [615]
SPL1,nobleo_Alda0uM_rep1,A1,0.314
SPL2,nobleo_Alda5uM_rep1,A2,0.326
SPL3,nobleo_Alda40uM_rep1,A3,0.325
SPL4,plusbleo_Alda0uM_rep1,A4,0.264
SPL5,plusbleo_Alda5uM_rep1,A5,0.258
SPL6,plusbleo_Alda40uM_rep1,A6,0.223
SPL7,nobleo_Alda0uM_rep2,B1,0.341
SPL8,nobleo_Alda5uM_rep2,B2,0.306
SPL9,nobleo_Alda40uM_rep2,B3,0.297
SPL10,plusbleo_Alda0uM_rep2,B4,0.241
SPL11,plusbleo_Alda5uM_rep2,B5,0.199
SPL12,plusbleo_Alda40uM_rep2,B6,0.177
SPL13,nobleo_Alda0uM_rep3,C1,0.334
SPL14,nobleo_Alda5uM_rep3,C2,0.302
SPL15,nobleo_Alda40uM_rep3,C3,0.331
SPL16,plusbleo_Alda0uM_rep3,C4,0.23
SPL17,plusbleo_Alda5uM_rep3,C5,0.198
SPL18,plusbleo_Alda40uM_rep3,C6,0.163
SPL19,NA_NA_blank1,D1,0.119
SPL20,NA_NA_blank2,D2,0.095
SPL21,NA_NA_blank3,D3,0.085
SPL22,NA_NA_blank4,D4,0.067
SPL23,NA_NA_blank5,D5,0.061
SPL24,NA_NA_blank6,D6,0.055
