A1,A2,B1,B2,C1,C2,D1,D2,E1,E2,F1,F2,G1,G2,H1,H2
0.073,0.071,0.07,0.075,0.072,0.075,0.071,0.072,0.079,0.071,0.077,0.076,0.075,0.072,0.079,0.081
0.076,0.071,0.07,0.075,0.072,0.075,0.071,0.072,0.08,0.072,0.078,0.076,0.075,0.072,0.079,0.077
0.073,0.071,0.07,0.075,0.072,0.076,0.072,0.073,0.081,0.073,0.079,0.077,0.076,0.072,0.079,0.078
0.074,0.072,0.071,0.078,0.073,0.076,0.072,0.073,0.082,0.074,0.079,0.078,0.076,0.073,0.08,0.08
0.073,0.072,0.071,0.075,0.073,0.076,0.072,0.073,0.081,0.075,0.08,0.078,0.077,0.074,0.08,0.082
0.074,0.072,0.073,0.079,0.073,0.076,0.072,0.074,0.082,0.077,0.081,0.078,0.077,0.075,0.081,0.083
0.074,0.073,0.073,0.082,0.074,0.077,0.073,0.074,0.084,0.08,0.083,0.081,0.079,0.075,0.081,0.083
0.075,0.073,0.074,0.079,0.074,0.077,0.073,0.075,0.085,0.084,0.085,0.086,0.079,0.076,0.082,0.084
0.075,0.073,0.075,0.082,0.074,0.078,0.073,0.075,0.087,0.088,0.087,0.085,0.08,0.076,0.082,0.083
0.076,0.074,0.076,0.078,0.075,0.078,0.074,0.075,0.088,0.094,0.089,0.089,0.081,0.077,0.083,0.083
0.077,0.074,0.077,0.082,0.075,0.078,0.074,0.075,0.09,0.099,0.091,0.092,0.081,0.077,0.083,0.085
0.078,0.075,0.079,0.084,0.075,0.079,0.074,0.076,0.092,0.107,0.094,0.096,0.082,0.079,0.084,0.084
0.078,0.075,0.08,0.084,0.076,0.08,0.075,0.077,0.094,0.116,0.096,0.1,0.083,0.08,0.084,0.084
0.08,0.076,0.082,0.081,0.076,0.08,0.075,0.077,0.096,0.123,0.099,0.104,0.084,0.081,0.085,0.085
0.08,0.076,0.083,0.085,0.076,0.08,0.076,0.077,0.098,0.133,0.102,0.11,0.085,0.082,0.086,0.085
0.08,0.077,0.085,0.081,0.077,0.081,0.076,0.078,0.1,0.146,0.105,0.116,0.086,0.083,0.086,0.084
0.081,0.077,0.086,0.081,0.077,0.081,0.077,0.078,0.102,0.154,0.108,0.12,0.086,0.084,0.087,0.085
0.081,0.077,0.088,0.082,0.077,0.082,0.077,0.079,0.105,0.166,0.111,0.125,0.087,0.085,0.088,0.085
0.083,0.078,0.089,0.083,0.078,0.082,0.077,0.079,0.107,0.176,0.114,0.131,0.088,0.086,0.088,0.085
0.082,0.078,0.091,0.083,0.079,0.082,0.078,0.08,0.109,0.187,0.117,0.138,0.089,0.087,0.089,0.087
0.083,0.079,0.092,0.086,0.079,0.083,0.078,0.08,0.112,0.196,0.121,0.144,0.09,0.088,0.089,0.087
0.084,0.079,0.094,0.089,0.08,0.083,0.079,0.079,0.114,0.203,0.124,0.151,0.09,0.089,0.09,0.087
