compound,dose,dapi,sabgal,SABGal_norm
Alda,0uM,9073,0.213,2.3476248208971673e-5
Alda,5uM,14179,0.195,1.375273291487411e-5
Alda,10uM,13825,0.173,1.2513562386980108e-5
Alda,20uM,13708,0.196,1.4298220017508025e-5
Alda,40uM,13720,0.187,1.3629737609329446e-5
Alda,blank,13945,0.279,2.000717102904267e-5
Daidzin,0uM,9238,0.2,2.164970772894566e-5
Daidzin,30uM,11592,0.199,1.7167011732229124e-5
Daidzin,60uM,11051,0.197,1.782644104605918e-5
Daidzin,120uM,11632,0.207,1.779573590096286e-5
Daidzin,240uM,11000,0.21,1.909090909090909e-5
Daidzin,blank,11016,0.259,2.351125635439361e-5
