Name,Well,DAPI,SABGal
NA,A1,2487,0.116
NA,A2,2488,0.112
NA,A3,2423,0.104
NA,A4,2509,0.095
NA,A5,2368,0.089
NA,A6,2356,0.072
bleo_40uM_rep3,B1,3299,0.205
bleo_5uM_rep3,B2,3377,0.198
bleo_0uM_rep3,B3,3401,0.196
H2O_40uM_rep3,B4,7214,0.203
H2O_5uM_rep3,B5,7803,0.187
H2O_0uM_rep3,B6,8166,0.145
bleo_40uM_rep2,C1,3462,0.2
bleo_5uM_rep2,C2,3287,0.201
bleo_0uM_rep2,C3,3307,0.209
H2O_40uM_rep2,C4,6918,0.224
H2O_5uM_rep2,C5,7474,0.183
H2O_0uM_rep2,C6,8072,0.146
bleo_40uM_rep1,D1,3504,0.21
bleo_5uM_rep1,D2,3562,0.194
bleo_0uM_rep1,D3,3360,0.204
H2O_40uM_rep1,D4,7161,0.202
H2O_5uM_rep1,D5,7708,0.177
H2O_0uM_rep1,D6,7130,0.159
