term,group1,group2,null.value,estimate,conf.low,conf.high,p.adj,p.adj.signif,y.position
Alda1,Alda0uM,Alda5uM,0,-5.143856495054284e-6,-1.7532098011738375e-5,7.244385021629808e-6,0.561,ns,1.4e-4
Alda1,Alda0uM,Alda40uM,0,-1.498311736549831e-5,-2.73713588821824e-5,-2.594875848814218e-6,0.0157,*,1.4e-4
Alda1,Alda5uM,Alda40uM,0,-9.839260870444026e-6,-2.2227502387128117e-5,2.548980646240066e-6,0.138,ns,1.4e-4
bleo,nobleo,plusbleo,0,4.233101921104286e-5,3.3971450533685504e-5,5.069058788840021e-5,2.06e-10,****,1.4e-4
Alda1:bleo,Alda0uM:nobleo,Alda5uM:nobleo,0,-7.182634798741479e-7,-2.2409583717335167e-5,2.097305675758687e-5,1,ns,1.4e-4
Alda1:bleo,Alda0uM:nobleo,Alda40uM:nobleo,0,5.409925439207724e-7,-2.1150327693540247e-5,2.2232312781381792e-5,1,ns,1.4e-4
Alda1:bleo,Alda0uM:nobleo,Alda0uM:plusbleo,0,5.563082116077567e-5,3.393950092331465e-5,7.732214139823668e-5,5.15e-7,****,1.4e-4
Alda1:bleo,Alda0uM:nobleo,Alda5uM:plusbleo,0,4.6061371650541266e-5,2.4370051413080247e-5,6.775269188800229e-5,1.17e-5,****,1.4e-4
Alda1:bleo,Alda0uM:nobleo,Alda40uM:plusbleo,0,2.5123593885858283e-5,3.432273648397264e-6,4.6814914123319306e-5,0.0167,*,1.4e-4
Alda1:bleo,Alda5uM:nobleo,Alda40uM:nobleo,0,1.2592560237949203e-6,-2.04320642136661e-5,2.295057626125594e-5,1,ns,1.4e-4
Alda1:bleo,Alda5uM:nobleo,Alda0uM:plusbleo,0,5.634908464064982e-5,3.46577644031888e-5,7.804040487811083e-5,4.11e-7,****,1.4e-4
Alda1:bleo,Alda5uM:nobleo,Alda5uM:plusbleo,0,4.677963513041542e-5,2.5088314892954398e-5,6.847095536787644e-5,9.22e-6,****,1.4e-4
Alda1:bleo,Alda5uM:nobleo,Alda40uM:plusbleo,0,2.584185736573243e-5,4.150537128271412e-6,4.753317760319345e-5,0.0131,*,1.4e-4
Alda1:bleo,Alda40uM:nobleo,Alda0uM:plusbleo,0,5.50898286168549e-5,3.339850837939388e-5,7.678114885431591e-5,6.1e-7,****,1.4e-4
Alda1:bleo,Alda40uM:nobleo,Alda5uM:plusbleo,0,4.55203791066205e-5,2.3829058869159478e-5,6.721169934408152e-5,1.41e-5,****,1.4e-4
Alda1:bleo,Alda40uM:nobleo,Alda40uM:plusbleo,0,2.458260134193751e-5,2.8912811044764914e-6,4.627392157939853e-5,0.0199,*,1.4e-4
Alda1:bleo,Alda0uM:plusbleo,Alda5uM:plusbleo,0,-9.569449510234403e-6,-3.126076974769542e-5,1.2121870727226616e-5,0.747,ns,1.4e-4
Alda1:bleo,Alda0uM:plusbleo,Alda40uM:plusbleo,0,-3.050722727491739e-5,-5.219854751237841e-5,-8.81590703745637e-6,0.00266,**,1.4e-4
Alda1:bleo,Alda5uM:plusbleo,Alda40uM:plusbleo,0,-2.0937777764682986e-5,-4.2629098002144006e-5,7.535424727780332e-7,0.0628,ns,1.4e-4
