 ,Area,IntDen,RawIntDen,Slice,microns
1,102455.624,1150315.917,2943210,1,0
2,102455.624,1433958.189,3668940,2,2
3,102455.624,1895798.768,4850610,3,4
4,102455.624,2549491.551,6523155,4,6
5,102455.624,2404481.183,6152130,5,8
6,102455.624,3803656.817,9732075,6,10
7,102455.624,3974181.036,10168380,7,12
8,102455.624,4388681.460,11228925,8,14
9,102455.624,4797102.412,12273915,9,16
10,102455.624,4520635.911,11566545,10,18
11,102455.624,4395956.894,11247540,11,20
12,102455.624,3265773.001,8355840,12,22
13,102455.624,1907658.722,4880955,13,24
14,102455.624,1169152.315,2991405,14,26
15,102455.624,713989.190,1826820,15,28
16,102455.624,687877.358,1760010,16,30
17,102455.624,1328015.907,3397875,17,32
18,102455.624,1806400.624,4621875,18,34
19,102455.624,2137482.713,5468985,19,36
20,102455.624,1485384.546,3800520,20,38
