value,stim,type,rep
216954.0096,LPA,HNE,1
306113.6619,LPA,HNE,2
150799.7865,LPA,HNE,3
254085.8202,LPA,HNE,4
267534.5278,LPA,HNE,5
208004.3326,TGFB,HNE,1
209455.5783,TGFB,HNE,2
175109.0357,TGFB,HNE,3
295412.1457,TGFB,HNE,4
131875.6547,TGFB,HNE,5
64774.20427,FC,HNE,1
148578.5276,FC,HNE,2
67428.575,FC,HNE,3
55026.25543,FC,HNE,4
84748.012,FC,HNE,5
263189.2732,veh,HNE,1
189106.0788,veh,HNE,2
265330.206,veh,HNE,3
177575.8255,veh,HNE,4
260034.069,veh,HNE,5
7608204.376,LPA,actin,1
6970146.302,LPA,actin,2
2629508.869,LPA,actin,3
5598459.103,LPA,actin,4
9271058.44,LPA,actin,5
10733532.84,TGFB,actin,1
13425318.93,TGFB,actin,2
12363965.13,TGFB,actin,3
11405407.98,TGFB,actin,4
7279240.135,TGFB,actin,5
6037750.818,FC,actin,1
6639120.273,FC,actin,2
7196245.37,FC,actin,3
5273979.719,FC,actin,4
4611578.839,FC,actin,5
9023313.709,veh,actin,1
8437423.239,veh,actin,2
11794450.62,veh,actin,3
6762453.833,veh,actin,4
8029562.894,veh,actin,5
