 ,Area,IntDen,RawIntDen
1,93690863.859,5.541E12,470852395.000
2,93690863.859,5.541E12,470852395.000
3,93855605.393,5.469E12,464770985.000
4,102080914.843,5.977E12,507931316.000
5,17035216000.000,1.013E15,86112749678.000
6,17035216000.000,1.013E15,86112749678.000
7,76357701.028,4.462E12,379224950.000
8,86736417.672,5.027E12,427182212.000
9,97727031.443,5.678E12,482544164.000
10,79405419.408,4.589E12,390005627.000
11,83218009.195,4.778E12,406073068.000
12,77758004.067,4.570E12,388337826.000
13,72627482.007,4.181E12,355295860.000
14,73886578.017,4.246E12,360802844.000
15,81088136.505,4.751E12,403743061.000
16,69509160.113,4.136E12,351484386.000
