 ,Area,IntDen,RawIntDen
1,17035216000.000,1.011E15,85913894419.000
2,95714831.278,5.686E12,483180685.000
3,97279875.851,5.739E12,487724252.000
4,106564238.019,6.284E12,534050472.000
5,17035216000.000,1.011E15,85913894419.000
6,17035216000.000,1.011E15,85913894419.000
7,66437907.228,3.832E12,325672921.000
8,78099254.388,4.604E12,391240010.000
9,95879572.812,5.600E12,475916077.000
10,74698518.435,4.359E12,370473449.000
11,87971979.178,5.220E12,443591999.000
12,74839725.464,4.422E12,375785298.000
13,57000570.778,3.310E12,281279672.000
14,51870048.718,2.955E12,251091744.000
15,66790924.801,3.973E12,337633010.000
16,54941301.603,3.186E12,270766972.000
