Well,Fluor,Target,Content,Sample,Cq,SQ
A01,FAM,Acta2,Unkn,WT_mock_01,19.73375194,NaN
A02,FAM,Acta2,Unkn,WT_mock_01,19.82425427,NaN
A03,FAM,Acta2,Unkn,WT_mock_02,19.9534007,NaN
A04,FAM,Acta2,Unkn,WT_mock_02,20.02285669,NaN
A05,FAM,Acta2,Unkn,WT_TGFb_01,17.34311399,NaN
A06,FAM,Acta2,Unkn,WT_TGFb_01,17.34914579,NaN
A07,FAM,Acta2,Unkn,WT_TGFb_02,17.38515104,NaN
A08,FAM,Acta2,Unkn,WT_TGFb_02,17.31846654,NaN
A09,FAM,Acta2,Unkn,KO_mock_01,18.77900495,NaN
A10,FAM,Acta2,Unkn,KO_mock_01,18.85055149,NaN
A11,FAM,Acta2,Unkn,KO_mock_02,18.91377426,NaN
A12,FAM,Acta2,Unkn,KO_mock_02,18.89882202,NaN
B01,FAM,Acta2,Unkn,KO_TGFb_01,18.02237638,NaN
B02,FAM,Acta2,Unkn,KO_TGFb_01,18.08066309,NaN
B03,FAM,Acta2,Unkn,KO_TGFb_02,18.13365639,NaN
B04,FAM,Acta2,Unkn,KO_TGFb_02,18.16566129,NaN
B05,FAM,Acta2,Unkn,CALIB,28.89462562,NaN
B06,FAM,Acta2,Unkn,CALIB,28.81054116,NaN
B07,FAM,Acta2,NTC,,NaN,NaN
B08,FAM,Acta2,NTC,,NaN,NaN
C01,FAM,Col1a1,Unkn,WT_mock_01,22.71159411,NaN
C02,FAM,Col1a1,Unkn,WT_mock_01,23.06080454,NaN
C03,FAM,Col1a1,Unkn,WT_mock_02,23.09564449,NaN
C04,FAM,Col1a1,Unkn,WT_mock_02,23.12707809,NaN
C05,FAM,Col1a1,Unkn,WT_TGFb_01,19.75464922,NaN
C06,FAM,Col1a1,Unkn,WT_TGFb_01,19.73460075,NaN
C07,FAM,Col1a1,Unkn,WT_TGFb_02,19.74317163,NaN
C08,FAM,Col1a1,Unkn,WT_TGFb_02,19.74326979,NaN
C09,FAM,Col1a1,Unkn,KO_mock_01,22.24261523,NaN
C10,FAM,Col1a1,Unkn,KO_mock_01,22.23899077,NaN
C11,FAM,Col1a1,Unkn,KO_mock_02,22.127994,NaN
C12,FAM,Col1a1,Unkn,KO_mock_02,22.15823917,NaN
D01,FAM,Col1a1,Unkn,KO_TGFb_01,20.55473626,NaN
D02,FAM,Col1a1,Unkn,KO_TGFb_01,20.88896182,NaN
D03,FAM,Col1a1,Unkn,KO_TGFb_02,20.93403107,NaN
D04,FAM,Col1a1,Unkn,KO_TGFb_02,21.01725444,NaN
D05,FAM,Col1a1,Unkn,CALIB,30.23173213,NaN
D06,FAM,Col1a1,Unkn,CALIB,30.16972369,NaN
D07,FAM,Col1a1,NTC,,NaN,NaN
D08,FAM,Col1a1,NTC,,NaN,NaN
E01,FAM,Ctgf,Unkn,WT_mock_01,19.80788934,NaN
E02,FAM,Ctgf,Unkn,WT_mock_01,20.12791897,NaN
E03,FAM,Ctgf,Unkn,WT_mock_02,20.25246127,NaN
E04,FAM,Ctgf,Unkn,WT_mock_02,20.30744461,NaN
E05,FAM,Ctgf,Unkn,WT_TGFb_01,18.74435235,NaN
E06,FAM,Ctgf,Unkn,WT_TGFb_01,18.68831934,NaN
E07,FAM,Ctgf,Unkn,WT_TGFb_02,18.72107996,NaN
E08,FAM,Ctgf,Unkn,WT_TGFb_02,18.78276715,NaN
E09,FAM,Ctgf,Unkn,KO_mock_01,18.04438852,NaN
E10,FAM,Ctgf,Unkn,KO_mock_01,18.1044558,NaN
E11,FAM,Ctgf,Unkn,KO_mock_02,18.05439126,NaN
E12,FAM,Ctgf,Unkn,KO_mock_02,18.06384239,NaN
F01,FAM,Ctgf,Unkn,KO_TGFb_01,17.49933996,NaN
F02,FAM,Ctgf,Unkn,KO_TGFb_01,17.64462746,NaN
F03,FAM,Ctgf,Unkn,KO_TGFb_02,17.79925374,NaN
F04,FAM,Ctgf,Unkn,KO_TGFb_02,17.80590364,NaN
F05,FAM,Ctgf,Unkn,CALIB,24.99425075,NaN
F06,FAM,Ctgf,Unkn,CALIB,24.98893055,NaN
F07,FAM,Ctgf,NTC,,NaN,NaN
F08,FAM,Ctgf,NTC,,NaN,NaN
G01,FAM,Fn1,Unkn,WT_mock_01,21.43090301,NaN
G02,FAM,Fn1,Unkn,WT_mock_01,21.43951094,NaN
G03,FAM,Fn1,Unkn,WT_mock_02,21.49727578,NaN
G04,FAM,Fn1,Unkn,WT_mock_02,21.51855656,NaN
G05,FAM,Fn1,Unkn,WT_TGFb_01,20.65787556,NaN
