,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,FAM,Gusb,Unkn,WT_mock_01,24.9922470814824,NaN
,A02,FAM,Gusb,Unkn,WT_mock_01,24.78730916609,NaN
,A03,FAM,Gusb,Unkn,WT_mock_02,24.9914770905711,NaN
,A04,FAM,Gusb,Unkn,WT_mock_02,25.1939421474587,NaN
,A05,FAM,Gusb,Unkn,WT_TGFb_01,25.5044538751711,NaN
,A06,FAM,Gusb,Unkn,WT_TGFb_01,25.4159810817663,NaN
,A07,FAM,Gusb,Unkn,WT_TGFb_02,25.3893003556037,NaN
,A08,FAM,Gusb,Unkn,WT_TGFb_02,25.184089368587,NaN
,A09,FAM,Gusb,Unkn,KO_mock_01,25.8126774790983,NaN
,A10,FAM,Gusb,Unkn,KO_mock_01,25.6851534795805,NaN
,A11,FAM,Gusb,Unkn,KO_mock_02,24.5756985171764,NaN
,A12,FAM,Gusb,Unkn,KO_mock_02,25.9944893279635,NaN
,B01,FAM,Gusb,Unkn,KO_TGFb_01,25.899261931076,NaN
,B02,FAM,Gusb,Unkn,KO_TGFb_01,26.1914302335657,NaN
,B03,FAM,Gusb,Unkn,KO_TGFb_02,26.155721478625,NaN
,B04,FAM,Gusb,Unkn,KO_TGFb_02,26.1776557706526,NaN
,B05,FAM,Gusb,Unkn,CALIB,NaN,NaN
,B06,FAM,Gusb,Unkn,CALIB,NaN,NaN
,B07,FAM,Gusb,NTC,,NaN,NaN
,B08,FAM,Gusb,NTC,,NaN,NaN
,C01,FAM,Ppia,Unkn,WT_mock_01,21.4344736883406,NaN
,C02,FAM,Ppia,Unkn,WT_mock_01,21.6404635023357,NaN
,C03,FAM,Ppia,Unkn,WT_mock_02,21.6605258370758,NaN
,C04,FAM,Ppia,Unkn,WT_mock_02,21.6750873187648,NaN
,C05,FAM,Ppia,Unkn,WT_TGFb_01,21.1093643256132,NaN
,C06,FAM,Ppia,Unkn,WT_TGFb_01,21.1158866660752,NaN
,C07,FAM,Ppia,Unkn,WT_TGFb_02,21.0214566784256,NaN
,C08,FAM,Ppia,Unkn,WT_TGFb_02,21.0538165783809,NaN
,C09,FAM,Ppia,Unkn,KO_mock_01,21.3381608919732,NaN
,C10,FAM,Ppia,Unkn,KO_mock_01,21.452965298595,NaN
,C11,FAM,Ppia,Unkn,KO_mock_02,21.4714521549339,NaN
,C12,FAM,Ppia,Unkn,KO_mock_02,31.2291289470522,NaN
,D01,FAM,Ppia,Unkn,KO_TGFb_01,21.2331932297768,NaN
,D02,FAM,Ppia,Unkn,KO_TGFb_01,21.4121033560807,NaN
,D03,FAM,Ppia,Unkn,KO_TGFb_02,21.4672114463381,NaN
,D04,FAM,Ppia,Unkn,KO_TGFb_02,21.4815773858972,NaN
,D05,FAM,Ppia,Unkn,CALIB,NaN,NaN
,D06,FAM,Ppia,Unkn,CALIB,NaN,NaN
,D07,FAM,Ppia,NTC,,27.2931578561891,NaN
,D08,FAM,Ppia,NTC,,27.2605649794368,NaN
,E01,FAM,Serpine1,Unkn,WT_mock_01,23.1808845088872,NaN
,E02,FAM,Serpine1,Unkn,WT_mock_01,23.355987804905,NaN
,E03,FAM,Serpine1,Unkn,WT_mock_02,23.4880235096549,NaN
,E04,FAM,Serpine1,Unkn,WT_mock_02,23.4864053388225,NaN
,E05,FAM,Serpine1,Unkn,WT_TGFb_01,19.4936131490242,NaN
,E06,FAM,Serpine1,Unkn,WT_TGFb_01,19.5471311618886,NaN
,E07,FAM,Serpine1,Unkn,WT_TGFb_02,19.343352002001,NaN
,E08,FAM,Serpine1,Unkn,WT_TGFb_02,19.4080359305159,NaN
,E09,FAM,Serpine1,Unkn,KO_mock_01,22.9446821137972,NaN
,E10,FAM,Serpine1,Unkn,KO_mock_01,22.9868394131527,NaN
,E11,FAM,Serpine1,Unkn,KO_mock_02,22.8846901660715,NaN
,E12,FAM,Serpine1,Unkn,KO_mock_02,22.4139600168648,NaN
,F01,FAM,Serpine1,Unkn,KO_TGFb_01,20.7792054834751,NaN
,F02,FAM,Serpine1,Unkn,KO_TGFb_01,20.9946486931217,NaN
,F03,FAM,Serpine1,Unkn,KO_TGFb_02,21.212765924893,NaN
,F04,FAM,Serpine1,Unkn,KO_TGFb_02,21.226577840373,NaN
,F05,FAM,Serpine1,Unkn,CALIB,NaN,NaN
,F06,FAM,Serpine1,Unkn,CALIB,NaN,NaN
,F07,FAM,Serpine1,NTC,,27.1595969006693,NaN
,F08,FAM,Serpine1,NTC,,27.0562238275074,NaN
