GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
10487	0.00	0.00	0.0339	37.916467	1.28665	9085.97	CAP1	cyclase associated actin cytoskeleton regulatory protein 1
1503	0.00	0.00	0.0596	49.957223	2.977289	2582.88	CTPS1	CTP synthase 1
6513	0.00	0.00	0.045	39.978374	1.801008	4108.91	SLC2A1	solute carrier family 2 member 1
8613	0.00	0.00	0.0564	-54.254392	-3.061676	2361.21	PLPP3	phospholipid phosphatase 3
10100	0.00	0.00	0.0857	37.771971	3.238448	789.55	TSPAN2	tetraspanin 2
55083	0.00	0.00	0.0869	38.593074	3.353927	844.9	KIF26B	kinesin family member 26B
7837	0.00	0.00	0.0293	52.966048	1.549944	27372.71	PXDN	peroxidasin
10797	0.00	0.00	0.0376	44.250992	1.665383	5392.81	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase
7130	0.00	0.00	0.0601	54.815286	3.294015	2294.63	TNFAIP6	TNF alpha induced protein 6
11227	0.00	0.00	0.0438	-54.629451	-2.3949	3647.7	GALNT5	polypeptide N-acetylgalactosaminyltransferase 5
1290	0.00	0.00	0.0317	43.775838	1.388405	20976.27	COL5A2	collagen type V alpha 2 chain
9262	0.00	0.00	0.0472	40.450362	1.907491	2603.18	STK17B	serine/threonine kinase 17b
2335	0.00	0.00	0.0284	57.64908	1.635537	928014.42	FN1	fibronectin 1
112268430	0.00	0.00	0.0379	44.403955	1.681687	9670.51	LOC112268430	
3488	0.00	0.00	0.0349	-56.013481	-1.953235	19290.87	IGFBP5	insulin like growth factor binding protein 5
7145	0.00	0.00	0.033	48.285529	1.592851	12019.87	TNS1	tensin 1
5270	0.00	0.00	0.0877	39.850664	3.495045	38548.41	SERPINE2	serpin family E member 2
8553	0.00	0.00	0.0481	55.840297	2.687744	4045.42	BHLHE40	basic helix-loop-helix family member e40
29995	0.00	0.00	0.0598	43.668474	2.611897	1553.06	LMCD1	LIM and cysteine rich domains 1
1294	0.00	0.00	0.0409	61.666154	2.522742	6233.28	COL7A1	collagen type VII alpha 1 chain
2317	0.00	0.00	0.0367	53.176503	1.950802	11839.97	FLNB	filamin B
5352	0.00	0.00	0.035	68.349697	2.389686	12505.05	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2
4071	0.00	0.00	0.0578	-42.587504	-2.462883	1885.07	TM4SF1	transmembrane 4 L six family member 1
5806	0.00	0.00	0.0456	-39.155722	-1.784227	3144.71	PTX3	pentraxin 3
6498	0.00	0.00	0.0524	42.977273	2.250633	2400.82	SKIL	SKI like proto-oncogene
5010	0.00	0.00	0.134	-39.725092	-5.323144	1108.52	CLDN11	claudin 11
5156	0.00	0.00	0.0336	-67.521685	-2.266162	11876.54	PDGFRA	platelet derived growth factor receptor alpha
8654	0.00	0.00	0.0449	-84.933471	-3.816946	6389.18	PDE5A	phosphodiesterase 5A
2247	0.00	0.00	0.0392	46.814417	1.837124	10059.24	FGF2	fibroblast growth factor 2
54510	0.00	0.00	0.0541	-47.663272	-2.578256	2294.81	PCDH18	protocadherin 18
64399	0.00	0.00	0.0503	54.698663	2.7506	2313.35	HHIP	hedgehog interacting protein
23022	0.00	0.00	0.0326	50.838387	1.656285	10799.38	PALLD	palladin, cytoskeletal associated protein
4883	0.00	0.00	0.0557	55.487038	3.091826	2074.91	NPR3	natriuretic peptide receptor 3
26064	0.00	0.00	0.0373	43.212088	1.610178	4956.85	RAI14	retinoic acid induced 14
2149	0.00	0.00	0.04	-42.0167	-1.682753	5182.56	F2R	coagulation factor II thrombin receptor
4015	0.00	0.00	0.0419	42.373083	1.776909	9075.43	LOX	lysyl oxidase
105379189	0.00	0.00	0.0752	45.658559	3.434793	1231.78	LOC105379189	uncharacterized LOC105379189
6695	0.00	0.00	0.0329	42.190339	1.389966	12326.69	SPOCK1	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1
6678	0.00	0.00	0.0338	64.424169	2.17707	78323.16	SPARC	secreted protein acidic and cysteine rich
55568	0.00	0.00	0.0409	41.853333	1.710481	3721.8	GALNT10	polypeptide N-acetylgalactosaminyltransferase 10
8728	0.00	0.00	0.0476	60.474881	2.87648	5126.78	ADAM19	ADAM metallopeptidase domain 19
54908	0.00	0.00	0.0592	41.966844	2.484037	1571.94	SPDL1	spindle apparatus coiled-coil protein 1
7148	0.00	0.00	0.0844	-44.269119	-3.735726	1463.5	TNXB	tenascin XB
3159	0.00	0.00	0.0383	-42.179635	-1.613981	10368.04	HMGA1	high mobility group AT-hook 1
7422	0.00	0.00	0.0364	43.672335	1.591815	5327.76	VEGFA	vascular endothelial growth factor A
1490	0.00	0.00	0.0374	56.751502	2.123415	45494.16	CCN2	cellular communication network factor 2
23345	0.00	0.00	0.0365	37.640519	1.375681	6490.27	SYNE1	spectrin repeat containing nuclear envelope protein 1
7058	0.00	0.00	0.0332	57.947795	1.921856	10100.76	THBS2	thrombospondin 2
2617	0.00	0.00	0.0318	40.716083	1.295002	9341.79	GARS1	glycyl-tRNA synthetase 1
440	0.00	0.00	0.044	38.203377	1.679539	2511.5	ASNS	asparagine synthetase (glutamine-hydrolyzing)
107986827	0.00	0.00	0.0441	37.951844	1.674046	2493.38	CZ1P-ASNS	CZ1P-ASNS readthrough
5054	0.00	0.00	0.0959	38.833893	3.722693	94787.77	SERPINE1	serpin family E member 1
10234	0.00	0.00	0.0394	40.538002	1.597894	4561.36	LRRC17	leucine rich repeat containing 17
800	0.00	0.00	0.0308	55.544806	1.713401	28953.51	CALD1	caldesmon 1
1191	0.00	0.00	0.0317	-39.993777	-1.268681	24954.73	CLU	clusterin
6422	0.00	0.00	0.0449	-64.519297	-2.899985	8911.13	SFRP1	secreted frizzled related protein 1
29968	0.00	0.00	0.0341	41.582466	1.417867	6272.71	PSAT1	phosphoserine aminotransferase 1
1902	0.00	0.00	0.049	-43.25472	-2.118954	3345.27	LPAR1	lysophosphatidic acid receptor 1
3371	0.00	0.00	0.0382	41.202131	1.572331	34827.41	TNC	tenascin C
1289	0.00	0.00	0.0372	69.69804	2.595198	35298.87	COL5A1	collagen type V alpha 1 chain
59	0.00	0.00	0.0896	39.24947	3.517313	11070.64	ACTA2	actin alpha 2, smooth muscle
9644	0.00	0.00	0.0431	48.699341	2.097068	8484.46	SH3PXD2A	SH3 and PX domains 2A
8038	0.00	0.00	0.0493	52.985203	2.611954	6215.38	ADAM12	ADAM metallopeptidase domain 12
9645	0.00	0.00	0.032	52.726203	1.68641	14549.14	MICAL2	microtubule associated monooxygenase, calponin and LIM domain containing 2
871	0.00	0.00	0.0351	42.947454	1.505319	15895.7	SERPINH1	serpin family H member 1
6876	0.00	0.00	0.0424	39.457558	1.674256	27391.81	TAGLN	transgelin
9159	0.00	0.00	0.0388	39.728262	1.541346	9001.54	PCSK7	proprotein convertase subtilisin/kexin type 7
3855	0.00	0.00	0.0584	51.884866	3.029446	2310.73	KRT7	keratin 7
22822	0.00	0.00	0.0397	-47.201982	-1.872321	6667.49	PHLDA1	pleckstrin homology like domain family A member 1
